,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Seats,Price,company
0,Maruti Wagon R,Mumbai,2010,72000,CNG,Manual,First,26.6,998,5,1.75,Maruti
1,Hyundai Creta 1.6,Pune,2015,41000,Diesel,Manual,First,19.67,1582,5,12.5,Hyundai
2,Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,18.2,1199,5,4.5,Honda
3,Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,20.77,1248,7,6.0,Maruti
4,Audi A4 New,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968,5,17.74,Audi
5,Hyundai EON LPG,Hyderabad,2012,75000,LPG,Manual,First,21.1,814,5,2.35,Hyundai
6,Nissan Micra Diesel,Jaipur,2013,86999,Diesel,Manual,First,23.08,1461,5,3.5,Nissan
7,Toyota Innova Crysta,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755,8,17.5,Toyota
8,Volkswagen Vento Diesel,Pune,2013,64430,Diesel,Manual,First,20.54,1598,5,5.2,Volkswagen
9,Tata Indica Vista,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248,5,1.95,Tata
10,Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.56,1462,5,9.95,Maruti
11,Honda City 1.5,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497,5,4.49,Honda
12,Maruti Swift VDI,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248,5,5.6,Maruti
13,Land Rover Range,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179,5,27.0,Land
14,Land Rover Freelander,Pune,2012,85000,Diesel,Automatic,Second,0.0,2179,5,17.5,Land
15,Mitsubishi Pajero Sport,Delhi,2014,110000,Diesel,Manual,First,13.5,2477,7,15.0,Mitsubishi
16,Honda Amaze S,Kochi,2016,58950,Diesel,Manual,First,25.8,1498,5,5.4,Honda
17,Maruti Swift DDiS,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248,5,5.99,Maruti
18,Renault Duster 85PS,Kochi,2014,77469,Diesel,Manual,First,20.45,1461,5,6.34,Renault
19,Mercedes-Benz New C-Class,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143,5,28.0,Mercedes-Benz
20,BMW 3 Series,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995,5,18.55,BMW
21,Maruti S Cross,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248,5,8.25,Maruti
22,Audi A6 2011-2015,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984,5,23.5,Audi
23,Hyundai i20 1.2,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197,5,1.87,Hyundai
24,Volkswagen Vento Petrol,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598,5,2.85,Volkswagen
25,Honda City Corporate,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497,5,4.25,Honda
26,Nissan Micra Diesel,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461,5,4.25,Nissan
27,Maruti Alto K10,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998,5,2.75,Maruti
28,Honda WRV i-VTEC,Kochi,2018,37430,Petrol,Manual,First,17.5,1199,5,9.9,Honda
29,Renault Duster 110PS,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461,5,7.75,Renault
30,Toyota Corolla Altis,Delhi,2012,87615,Petrol,Manual,First,14.53,1798,5,6.75,Toyota
31,Mahindra Ssangyong Rexton,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696,7,12.5,Mahindra
32,Audi A6 2.7,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698,5,11.5,Audi
33,Volkswagen Vento 1.6,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598,5,6.98,Volkswagen
34,Maruti Wagon R,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061,5,1.85,Maruti
35,Maruti Vitara Brezza,Kochi,2018,50075,Diesel,Manual,First,24.3,1248,5,8.63,Maruti
36,Mahindra KUV 100,Delhi,2017,52000,Petrol,Manual,First,18.15,1198,5,4.85,Mahindra
37,Mercedes-Benz M-Class ML,Pune,2013,85000,Diesel,Automatic,First,11.74,2987,5,28.0,Mercedes-Benz
38,Volkswagen Polo Diesel,Chennai,2013,62000,Diesel,Manual,First,22.07,1199,5,5.0,Volkswagen
39,Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,19.7,796,5,1.25,Maruti
40,Tata Nano LX,Kochi,2014,19698,Petrol,Manual,First,25.4,624,4,1.53,Tata
41,Mahindra KUV 100,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198,6,5.58,Mahindra
42,Hyundai i20 Magna,Kochi,2014,35487,Petrol,Manual,First,18.5,1197,5,4.74,Hyundai
43,Hyundai Elantra 2.0,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999,5,8.85,Hyundai
44,Toyota Corolla Altis,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798,5,10.11,Toyota
45,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991,5,4.25,Hyundai
46,Toyota Innova Crysta,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694,7,10.95,Toyota
47,Hyundai Xcent 1.1,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120,5,3.85,Hyundai
48,Mahindra Thar CRDe,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498,6,5.5,Mahindra
49,Audi A4 2.0,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968,5,21.43,Audi
50,Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.9,1248,5,4.25,Maruti
51,Maruti Swift Ldi,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248,5,3.3,Maruti
52,Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.4,1248,5,3.85,Maruti
53,Hyundai Grand i10,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197,5,3.6,Hyundai
54,Volkswagen Vento 2013-2015,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598,5,3.99,Volkswagen
55,Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25.17,799,5,3.3,Renault
56,Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197,5,2.07,Hyundai
57,Nissan X-Trail SLX,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995,5,7.75,Nissan
58,Maruti Zen Estilo,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998,5,2.25,Maruti
59,Toyota Innova Crysta,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393,8,16.5,Toyota
60,Ford Figo Diesel,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399,5,2.75,Ford
61,Mercedes-Benz New C-Class,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796,5,26.7,Mercedes-Benz
62,Mercedes-Benz New C-Class,Pune,2011,65000,Diesel,Manual,Second,15.8,2148,5,10.0,Mercedes-Benz
63,Tata Indica V2,Chennai,2016,178000,Diesel,Manual,First,25.0,1396,5,2.5,Tata
64,Audi A4 2.0,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968,5,13.5,Audi
65,Honda City ZX,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497,5,1.85,Honda
